,message
460,"Этот пост для девушек. #ZналиЛиВы, что в древности процесс распития алкогольных напитков в кругу друзей и единомышленников назывался симпозиумом (дословно с греческого - «совместная попойка»). Так что, собираясь с подружками в Шампанерию, можно сказать своей половине: ""Дорогой, я пошла на симпозиум"". И это будет полнейшей правдой!"
461,"#ликбез Если вы вдруг любите изучать винные этикетки, то, наверняка, встречали на некоторых из них загадочное словосочетание “Метод Шарма”. Шарма (с ударением на последний все-таки слог) это фамилия французского ученого Эжена Шармá, который в 1907 году запатентовал оборудование для ускоренного производства игристых вин. Грубо говоря, это способ получения в резервуаре за короткий срок тех же пузырьков, что и при многолетней выдержке в бутылках. Но на самом деле, этот метод был изобретен 12 годами ранее в Италии другим энологом - Федерико Мартинотти, но тот не успел его запатентовать. Теперь, чтобы никому не было обидно, метод ускоренной шампанизации принято называть “Шарма-Мартинотти”. 
 
Наши линейки #ZBSpumante, #Балаклава, #Золотая Балка, #Moscato произведены именно таким методом."
462,"Напоминаем о конкурсе фотографий «Про любовь»! Уже через неделю - 10 февраля, накануне Дня Влюбленных - мы подведем итоги конкурса на самую романтическую фотографию и подарим победителям НОЧЬ НА ДВОИХ В ПЯТИЗВЕЗДОЧНОМ ОТЕЛЕ «Вилла Елена» в Ялте. А участники, занявшие второе и третье места, получат по ящику их любимого игристого.
Делитесь фотографиями с вашими любимыми половинками и любимым вином от «Золотой Балки».

Не забудьте открыть свой профиль, подписаться на страницы ""Золотая Балка"" (https://vk.com/zbkrim) и ""Вилла Елена"" (https://vk.com/villaelenahotel), поставить тег #ZB_LOVE и написать в комментариях о том, что вы участвуете❤
⠀
10 февраля мы выберем автора лучшего фото, которому подарим ночь на двоих в пятизвездочном отеле «Вилла Елена» в Ялте. А участники, занявшие второе и третье места, получат по ящику их любимого игристого.

#золотаябалка #zolotayabalka 
⠀"
463,"Предлагаем провести это воскресенье максимально лениво, взяв за основу простую формулу «Кино, вино и домино». Домино можно отбросить или заменить, а #ВиноПодКино будет, например, таким: 
 
• «Великий Гэтсби». Чокнитесь бокалом-купе, наполненным игристым Cuvee de Vitmer, с героем Лео Ди Каприо. 
•  «На обочине». Вместе с главными героями насладитесь калифорнийскими пейзажами и розовым вином ZBWine Rose. 
• «Укрощение строптивого». Легкое, яркое, страстное кино – такое же, как и ZBFrizzante Red Semisweet 
•  «Хороший год». Наполните бокал красным сухим Cabernet Sauvignon Balaklava Barrique урожая 2016 года. Это также был очень хороший год. 
 
#ZolotayaBalka #ЗолотаяБалка"
464,"Если вы хотите чувствовать себя в обществе винных снобов, как рыба в шампанском воде, вам поможет наша #аЗБука_ЗБ. Немного практики, и вы овладеете нужной терминологией, чтобы блистать на винных дегустациях не хуже профи. 
 
Расшифруем для вас понятие «ножки вина». Ножки (они же слезки) можно обнаружить на стенках бокала, если слегка его покрутить. Чем тоньше ножки и чем быстрее стекают они по бокалу, тем легче вино. Например, у выдержанного красного сухого Merlot из линейки Balaklava Barrique они будут самыми солидными, а у белых вин ZBWine – самыми стройными. 
 
#ZolotayaBalka #ЗолотаяБалка"
465,"Применяем полученную на прошлой неделе теорию на практике и подбираем пару к вину по географическому принципу. Черноморская рыба сарган с травяным соусом + белое сухое Loco Cimbali от «Золотой Балки» = #ИдеальнаяПара 
 
#ZolotayaBalka #ЗолотаяБалка"
466,"Миксуем на игристом в домашних условиях: коктейли на основе вин «Золотой Балки» от шеф-бармена @zolotayabalka_rest и нашего бренд-амбассадора Романа Проскурина 

🥃 Негрони Сбальято 
 
• Кампари 30 мл 
• Красный вермут 30 мл 
• Балаклава брют Pinot Noir 100 мл 
Подавать в бокале рокс 
 
🍸Френч 75 
• Джин 30 мл 
• Сок лимона 15 мл 
• Сахарный сироп 15 мл 
• Балаклава брют Chardonnay 125 мл 
Подавать в бокале флют. 

#ZolotayaBalka #ЗолотаяБалка"
467,"#ZналиЛиВы что для того, чтобы снять мюзле, достаточно всего шести полуоборотов проволоки? Предлагаем проверить на бутылке ZBSpumante. #ЧинЧин 
 
#ZolotayaBalka #ЗолотаяБалка"
468,"Наш игристый маршрут продолжается в Северо-Кавказском федеральном округе. Рассказываем, куда здесь стоит отправиться за винами «Золотой Балки».
⠀
•  Владикавказ: Причал
•  Железноводск: Алкомаркет
•  Ставрополь: Библиотека (Тамада), Меркурий
•  Кисловодск, Пятигорск, Минеральные Воды: Алкомаркет 
⠀
#ZolotayaBalka #ЗолотаяБалка"
469,"Как-то раз Куприн с рыбаками отправился в таверну – отметить особенно хороший улов. В результате «праздника» компания оказалась на местном телеграфе, откуда была отправлена знаменитая телеграмма на имя российского императора: «Балаклава объявляет себя свободной республикой греческих рыбаковъ. Куприн». 
 
Ответ пришёл от премьера: «Когда пьешь – закусывай. Столыпин». Возьмите на заметку 😜 

#ZolotayaBalka #ЗолотаяБалка"
470,"Подписчики спрашивают, мы отвечаем #Вопрос_Ответ. 
 
«Мой фаворит – белое сухое #ZBFrizzante. A вот муж предпочитает брют #ZBSpumante. Чем отличаются эти вина?», Ирина Горбунова. 
 
Разобраться в ZB-особенностях нам поможет наш бренд-амбассадор Наталья Беренда. «Отличие этих вин в нюансах производства и длительности вторичного брожения. В результате получаются вина с разным давлением в бутылке: у ZBSpumante давление 3-3.5 Бар, у ZBFrizzante - до 2.5 бар. Поэтому в бокале с ZBFrizzante пузырьков будет меньше и перляж будет менее насыщенный. А вот ZBSpumante легко узнать по плотному муссу и долгому перляжу - не зря его название переводится с итальянского как «пенистое». Кроме того, вина Frizzante слаще за счёт мускатных сортов винограда в купаже». 
 
Потому если вы предпочитаете лёгкие, питкие игристые вина с ненавязчивым перляжем, мы рекомендуем линейку ZBfrizzante, а если вы фанат игристых в стиле просекко, то обратите внимание на ZBSpumante. 
 
#ЗолотаяБалка #ZolotayaBalka"
471,"Если хочется новых винно-гастрономических впечатлений, предлагаем вам отправиться в новый ежедневный «Эксклюзивный тур» по Шампанерии «Золотая Балка». 

Полное погружение в процесс производства плавно перейдет в дегустацию крымских сыров под аккомпанемент премиальных вин. То, что нужно для отличного начала выходных. 
Подробности на сайте zbtour.ru

#ЗолотаяБалка #ZolotayaBalka"
472,"Сегодня наша #ИдеальнаяПара составлена по принципу терруара: к нашим по-настоящему крымским винам мы подобрали крымские специалитеты. Сомелье рекомендуют: сочетайте продукты и вина одного региона и не ошибетесь. Тут cработают и многовековые традиции сочетания локальных продуктов и вин, и влияние терруара. 
Вдохновляйтесь и экспериментируйте. 

#ЗолотаяБалка #ZolotayaBalka"
473,"«Открой вино без штопора» - для нас, как для настоящих энофилов, эта миссия точно выполнима. Делимся с вами нашими лайфхаками на случай, если нужного инструмента под рукой не оказалось. 

- Ключ🔑. Подойдет любой ключ с острым концом. Втыкаем его в край пробки под углом 45 градусов примерно на 2/3 длины. Потихоньку вращаем его в пробке и начинаем ее вытягивать. 
 
- Ботинок и стена 👞😨. Освобождаем бутылку от колпачка, помещаем дном в ботинок (в область пятки). Ударяем этой конструкцией по стене – несильно, но несколько раз, пока пробка не выйдет из бутылки наполовину. Дальше достаем ее руками. 

- Помада или тушь для ресниц 💄. Главное условие – их диаметр должен быть меньше диаметра пробки. Подносим помаду или тушь к горлышку и начинаем с силой вдавливать пробку внутрь бутылки. 
Делитесь в комментариях вашими вариантами и #ЧинЧин 

#ЗолотаяБалка #ZolotayaBalka"
474,"Настоящая зима до юга России, может, и не доберется, а вот «Золотая Балка» добралась. Отправляемся за нашими винами в магазины Южного федерального округа: 

• Краснодар - Табрис, Алтима (Алкотека), Агрокомплекс (ПУД),
• Волгоград – Тамерлан, Радеж, Лакки (МАН)
• Сочи - Золотая Нива, Коллекция Градусов
• Ростов-на-Дону - Апекс, Ассорти, Солнечный круг, Тройка
• Белореченск - Алкотека (Три богатыря)

#ЗолотаяБалка #ZolotayaBalka"
475,"#ZналиЛиВы что Балаклавская набережная – самая низкая в Европе? Здесь вы можете прикоснуться к морю, просто присев на корточки. 
 
Строительство каменной набережной в Балаклаве началось в 1880 г. на деньги городских меценатов, а обустройством занимался местный подрядчик А.Христопуло. Его рабочие трудились целых 10 лет, и в результате Балаклава получила настоящую набережную в камне, вдоль которой сразу выросли дачи и гостиницы. Кладка располагалась почти вровень с водой – в Балаклавской бухте не бывает сильных штормов, так что угрозы затопления не было. Улицу назвали Новой. Теперь от нее остался лишь памятник –фрагмент кладки, взятый в металлическую рамочку. 
 
#ЗолотаяБалка #ZolotayaBalka"
476,"Долой плед! Бархатистое #ZBFrizzante красное полусладкое спасет вас от зимы не хуже. 
 
#ЗолотаяБалка #ZolotayaBalka"
477,"Раз уж Москве и Крыму крещенские морозы не светят, отправимся за настоящей зимой (а заодно и за самыми игристыми покупками) в Сибирь. Рассказываем, где купить наши вина в магазинах Сибирского федерального округа. 
 
• Новосибирск: Быстроном, Бахетле, Добрянка, Гигант 
• Бердск: ПродСиб 
• Кемерово: Бегемот 
• Красноярск: Разгуляй, Командор, Абсолют, Красный яр, ВиноградЪ, Ретро 
• Норильск: Океан 
• Новокузнецк: Мир Вкуса 
• Иркутск: Слата 
• Барнаул: Дринк Кинг 
• Омск: Х.О"
478,"Слышали ли вы, что мороженое и вино составляют необычную, но очень гармоничную пару? 

«Мороженое — это совершенство. Жаль, что легальное», — писал Вольтер. То же можно сказать и о винах. Главное правило при выборе напитка к любимому десерту — «простое к сложному». 

Фруктовый лед подчеркнет розовое полусухое Фриззанте: во вкусе мороженого и вина переплетаются ноты клубники и красной смородины, а одинаковая температура десерта и игристого тоже может сыграть хорошую роль. Шоколадное мороженое подчеркнет полусладкое Бастардо, благодаря плотности структуры и нот темного шоколада и кофе во вкусе и аромате. Карамельную основу Крем-брюле усилит ароматный и плотный в структуре Мускат Балаклава. 

#ZolotayaBalka #ЗолотаяБалка"
479,"Деми (La demie или half bottle), маленькая бутылка вина, объем которой составляет половину стандартного объема (0,375 мл), которую мы запустили в продажу несколько месяцев назад, пользуется все большей и большей популярностью. 

Такие бутылки все чаще встречаются в ресторанах и легко помещаются в дамские сумочки. 
 
Наши «половинки» - это игристые вина Балаклава Reserve – выдержанные брют белое и брют розовое. А вы уже успели познакомиться с новинкой? 
 
#ZolotayaBalka #ЗолотаяБалка"
480,"Земли «Золотой Балки» обладают широкой палитрой почв разнообразных текстур: где-то преимущественно песчаных, где-то каменистых, а где-то глинистых. Представьте себе лоскутное одеяло. Это связано с тем, что долина, где располагаются наши виноградники, огромная — ее общая площадь 2700 гектаров (это как половина Республики Сан-Марино или как 14 Княжеств Монако). 

В нашей долине встречаются почвы как в Калифорнии (суглинок-комбинация песка, ила и глины, тот тип почвы, который отвечает за стабильность в урожайности и качестве вин), Бургундии (глина с известняком— самый пластичный тип почвы, идеальный для производства плотных красных тихих вин) и, конечно, Шампани с ее осадочными породами, преимущественно песчаниками и известняками. 

Известняк нередко именуют ""императором"" горных пород, а виноградник, богатый известняком, является священной землей для виноделов. Именно известняк способен удерживать воду и обеспечивать наилучший дренаж, потому только на известняковых породах рождаются высококислотные минеральные вина. 

Достаточно проехать по трассе Ялта-Севастополь, чтобы увидеть, насколько разные почвы в «Золотой Балке». 

Именно здесь зарождаются основы вкуса и аромата наших будущих вин— то, что французы называют goût de terroir (буквально- вкус терруара). 
 
#ZolotayaBalka #ЗолотаяБалка"
481,"КОНКУРС ко Дню всех влюбленных совместно с @villaelenahotel.ru❤
⠀
До дня святого Валентина остался месяц, и мы объявляем конкурс на лучшее фото «Про любовь».
⠀
С 14 января по 10.02 делитесь фотографиями с вашими любимыми половинками и вашим любимым вином от «Золотой Балки». В карусели вы найдете несколько вдохновляющих кадров.
⠀
Не забудьте открыть свой профиль, подписаться на страницы ""Золотая Балка"" (https://vk.com/zbkrim) и ""Вилла Елена"" (https://vk.com/villaelenahotel), поставить тег #ZB_LOVE и написать в комментариях о том, что вы участвуете❤
⠀
10 февраля мы выберем автора лучшего фото, которому подарим ночь на двоих в пятизвездочном отеле «Вилла Елена» в Ялте. А участники, занявшие второе и третье места, получат по ящику их любимого игристого.
⠀
#ZolotayaBalka #ЗолотаяБалка #виллаелена #villaelena"
482,"Новогодние праздники остались позади, но мы продолжаем получать праздниные фотографии от наших #ZB_agents. Спасибо @lovtsova_ph, @bazhukovamariia, @yanastia_, [club174904952|@elen_furs], @gloria_grrr 🍾🥂

#ZolotayaBalka #ЗолотаяБалка"
483,"Сегодня последний праздничный день в длинной череде новогодних торжеств. По традиции в старый Новый год принято накрывать стол пирогами, блинами, поросенком и (добавим от нас) игристым.
А для тех, кто не успел погадать на святки, предлагаем сделать это сегодня вместе с нами.
⠀
Гадать будем на желание по книге Куприна «Листригоны» (она сейчас у нас в руках). Пишите в комментариях номер страницы (7-765) и строчку (1-30), а мы отправим вам ваше предсказание.
⠀
 #ЧинЧин #ZolotayaBalka #ЗолотаяБалка"
484,"Считается, что лучше всего атмосферу места передают художники, которые могут исследовать пейзаж неделями и даже месяцами. Наблюдая за местностью в разное время года, днём и ночью, художник открывает перед нами неповторимый характер места, в котором побывал. 

Предлагаем вам взглянуть на Балаклаву глазами известного севастопольского художника Олега Танцюры. 

#zolotayabalka #золотаябалка"
485,"Наше игристое путешествие по регионам России продолжается в Северо-Западном федеральном округе. Где купить вина «Золотой Балки»: 
 
• Калининград: Бутыль, Семья, Винум, Виниссимо 
• Санкт-Петербург: Петроторг, Призма, Риомаг, Русалка, Ряды, Росал, Калейдоскоп, Градусы, Реалъ, SimpleWine
• Великий Новгород: Осень, Квартал, Три бочки, Градусы 
• Мурманск: Еврорус, Алко Ру 
• Северодвинск: Гарант Новый век 
• Вологда: Золотой ключик, Аллея, Рандеву 
• Ухта: Берёзка, Горка, ВиноГрад 
 
#zolotayabalka #золотаябалка"
486,"Сегодня наш тост за самую долгожданную пятницу в этом году!
#ЧинЧин 
#zolotayabalka #золотаябалка"
487,"Если после столь долгих праздников у вас все же осталось недопитое вино, то мы расскажем, как правильно сохранить его. 
 
• Для игристых используйте стопперы. Но помните, что даже плотно закрытое стоппером игристое может храниться в холодильнике не больше суток. 
• Сухие белые вина с невысокой кислотностью также лучше выпивать в течение суток; 
• Красные вина «проживут» не более 2-х дней; 
• Десертные вина можно хранить в холодильнике от нескольких дней до пары недель. 
 
#zolotayabalka #золотаябалка #Вопрос_Ответ"
488,"#ВестиСПолей: на виноградниках «Золотой Балки» во время подготовки почвы к посадке был найден аммонит - окаменелый моллюск, обитавший на Земле сотни миллионов лет назад. 

Эта находка означает, что территория, занимаемая ныне «Золотой Балкой», была когда-то дном океана, и ее почвы обладают уникальным составом, который придает будущим игристым винам характерную минеральность.

Именно такие детали и формируют наш уникальный терруар.

#ZolotayaBalka #ЗолотаяБалка"
489,"Поздравляем с Рождеством! Пусть этот светлый праздник принесет вам и вашим близким тепло, радость и благополучие.
#zolotayabalka #золотаябалка"
490,"Аромат корицы уже давно стал таким же символом зимних праздников, как и мандарины с оливье. Ведь именно корицей благоухает глинтвейн – традиционный рождественский напиток. Делимся с вами рецептом глинтвейна на основе #ZBWine Saperavi от шеф-бармена @zolotayabalka_rest и бренд-амбассадора «Золотой Балки» @promashaa. 
• 1 бут красного сухого вина ZBWine Saperavi 
• 2 палочки корицы 
• 3-4 звездочки бадьяна 
• 5-6 «бутонов» гвоздики 
• 1 яблоко 
• 1 апельсин 
• 3 ст ложки цветочного меда (или по вкусу) 

Апельсин и яблоко нарезаем небольшими кусочками, помещаем их в сотейник, сверху добавляем специи. Вливаем к ингредиентам вино, добавляем мед и ставим все на минимальный огонь. Кипятить смесь не нужно, достаточно довести до горячей температуры (около 60-70 градусов). Снимаем разогретую смесь с огня, накрываем крышкой и оставляем в таком виде минут на 10. Разливаем по бокалам и подаем, украсив дольками яблок, присыпанных корицей. 
 
#zolotayabalka #золотаябалка"
491,"Сегодня пятый день 2020 года и пятый день новогодних каникул. Кажется, затихла вся Балаклава. Стоят теплые солнечные дни. Местные жители и редкие туристы прогуливаются по набережной и дышат целебным горным воздухом. 
 
Если в эти дни вы вдруг оказались в наших краях, имейте ввиду, что Шампанерия «Золотая Балка» открыта с 10 до 18:00. Приглашаем вас на бокальчик #ZBMoscato розового полусладкого. 
 
#zolotayabalka #золотаябалка"
492,"Сегодня #аЗБука_ЗБ расскажет, что означает надпись «Reserve» на игристых винах линейки Балаклава. 
 
Уникальность игристого Reserve в технологии его производства. Хотя это и метод Шарма, но с дополнительной выдержкой в акратафорах в течение нескольких месяцев sur lie (на дрожжевом осадке), что, фактически, приближает это игристое к классике. 
 
Для чего это нужно? 

Такой технологический приём усиливает продолжительность вкуса вина, увеличивает сложность, глубину и длительность аромата, придаёт вину красивый оттенок и создает изысканный перляж. 
 
#zolotayabalka #золотаябалка"
493,"#Вопрос_Ответ 

Как быстро охладить игристое до нужной температуры, чтобы не пострадало качество вина? 

Лучший способ - сделать это заблаговременно. Но если гости уже на пороге, и нет времени ждать, эти маленькие хитрости спасут ситуацию: 

• Воспользуйтесь полотенцем. Подойдёт бумажное или кухонное: оберните бутылку влажным полотенцем и положите в холодильник. Влага быстрее проводит и удерживает холод, и вся поверхность бутылки будет охлаждаться равномерно. 
 
!!! Не кладите бутылку в морозилку: шоковый перепад температур может оказаться губительным для пузырьков. 
 
• Добавьте соль в холодную воду. Для быстрого охлаждения наполните большую миску водой со льдом и добавьте немного соли. Уже через несколько минут шампанское будет прохладным. 
 
• Покрутите бутылку. Держите бутылку в ведре со льдом и периодически крутите её каждые несколько минут. Так содержимое бутылки будет соприкасаться с холодной поверхностью стекла и быстрее охладится. 

#zolotayabalka #золотаябалка"
494,"«Ленивые, объевшиеся рыбой коты с распухнувшими животами валяются поперек тротуаров, и когда их толкаешь ногой, то они нехотя приоткрывают один глаз и опять засыпают…». А. Куприн, «Листригоны». 
 
Кажется, описание образа жизни балаклавских котов очень напоминает постновогодний режим. Как проходят праздничные каникулы? 
 
#zolotayabalka #золотаябалка"
495,"1 января + #ZBFrizzante белое сухое = #ИдеальнаяПара. Легкая игристость, пониженное содержание алкоголя просто созданы для опохмел-party. 

#zolotayabalka #золотаябалка"
496,"Здравствуй, 2040 - проект, в котором мы вместе с молодыми двадцатилетними людьми краем глаза заглянули в наше будущее. Мы показали вам пять коротких видеосерий и намерены продолжить съемки в новом году с новыми героями. 
 
Пара слов от авторов проекта. Игорь Григорьев: «Это поколение заявило о себе в этом году во весь голос, и я надеюсь, что с их приходом к активной жизни у нас в стране что-то изменится в лучшую сторону. За эти позитивные изменения мне и хотелось бы поднять новогодний тост». 

Снежанна Георгиева: «В преддверии наступающего года поднимаю тост, конечно, за будущее. Мне хотелось бы, чтобы все мы прожили следующие двадцать лет с пользой для себя, для своих близких, а, может, и для всей страны. Чтобы в 2040-м году, оглянувшись назад, мы сказали себе: «О, все это было здорово и не напрасно». 

Вместе с авторами и героями нашего проекта «Золотая Балка» поздравляет вас наступающим 2020-м годом! 

#zolotayabalka #золотаябалка"
497,"Раньше всех в нашей стране игристое под бой курантов откроют жители Дальнего Востока. Именно они первыми встречают Новый год. И поэтому сегодня мы отправляемся за винами «Золотой Балки» в магазины Дальневосточного Федерального округа. 

• Якутск: Больше-Меньше, 18+ (ТД Исток) 
• Южно-Сахалинск: Гидьдия и Столичный, Дионис, Первый семейный 
• Петропавловск-Камчатский: Гамбринус, Макса/Штофъ 
• Владивосток: Брют 
• Биробиджан: Бридер и Пенсионер 
• Анадырь: Галерея вкуса 
• Артём: Дионис 
 
#zolotayabalka #золотаябалка"
498,"«Такое нежное лето, наше первое лето с тобой…».
⠀
Всего одна строка из песни невероятной Дианы Арбениной, и вы сразу понимаете, что сегодня мы вспоминаем наш #ZBFest.
⠀
В 2019 году мы провели свой четвертый музыкальный фестиваль на виноградниках «Золотой Балки» и точно можем сказать, что #ZBFest – это вы.
⠀
Мы еще раз говорим спасибо каждому из вас, кто стал частью этого грандиозного праздника музыки. Тем, кто наслаждался роком от Дианы Арбениной и Даны Соколовой. Тем, кто зажигательно танцевал под хиты МОТа. И тем, кто в унисон подпевал Сергею Шнурову «В Питере – пить». Мы вас любим.
⠀
До новых ZB-встреч на виноградниках.
⠀
#ZolotayaBalka #ЗолотаяБалка #ВнутренняяИмперия"
499,"Продолжаем вспоминать вместе с вами самые яркие события «Золотой Балки» 2019 года.
⠀
В конце апреля у нас состоялась настоящая кинопремьера. Продюсерский центр Apple Box Production и режиссер Александр Молочников [club159500965|@kislomolochniy] создали для нас маленькую киноленту о большом человеке и его великих делах – Александре Николаевиче Витмере, основателе «Золотой Балки».
⠀
Немного ироничное, и при этом наполненное глубоким смыслом – именно таким получился этот фильм.
⠀
⠀
#ZolotayaBalka #ЗолотаяБалка #ВнутренняяИмперия"
500,"И последняя пятая часть нашего видео-сериала «Здравствуй, 2040!». 

Напоминаем, что этот проект был задуман нами с целью обратить внимание на молодых 20-летних, которые во весь голос заявили о себе в уходящем году и о которых так много говорили. 

В преддверии Нового 2020 года мы задали им вопрос, какими они видят себя через двадцать лет, когда им исполнится по 40 с чем-то. Надеемся, что эти 5 серий смогли нарисовать приблизительный портрет нового молодого поколения, вместе с которым мы заглянули в наше общее будущее. С наступающим! #Здравствуй2040

Часть 5, Миша Березин [id32054765|@pozvolte], 25 лет, журналист и Артур Мотолянец [id54357401|@motolyanets], 26 лет, фотограф

#zolotayabalka #золотаябалка"
501,"Еще одно важное достижение 2019 года: география присутствия «Золотой Балки» на винных полках разных городов стала еще шире. И сегодня мы отправляемся за нашими винами вместе с жителями Уральского федерального округа.
⠀
•    Екатеринбург: Райт, Фанагория, Яблоко, Елисей, Гипербола, Флагман, Метро, Ашан, Перекрёсток, Лента, Мегамарт, Сима-ленд, Кировский
⠀
•    Салехард: Стерх, Спартак, Плюс
⠀
•    Челябинск: Райт, Мавт, Молния
⠀
•    Сургут, Пермь, Тюмень, Нижний Тагил: Райт
⠀
•    Магнитогорск: Чарка
⠀
•    Нижневартовск: Десятка
⠀
•    Курган: Метрополис, Райт
⠀
#ЗолотаяБалка #ZolotayaBalka"
502,"Вина-лауреаты «Золотой Балки». Часть вторая. 

#ВнутренняяИмперия 

#ЗолотаяБалка #Zolotayabalka"
503,"В конце декабря принято подводить итоги и вспоминать самые яркие события уходящего года. Нам тоже есть, чем поделиться. Начнем с самого приятного – с наград, которыми были отмечены наши вина. В карусели фотографии наших лауреатов. Уверены, среди них вы найдете вино, которое займет самое достойное место на вашем новогоднем столе.
⠀
Полный список смотрите в следующем посте под тегом #ВнутренняяИмперия 
⠀
#ZolotayaBalka #ЗолотаяБалка"
504,"Сегодня мы поднимаем наши бокалы в честь католического Рождественского Сочельника.
⠀
Желаем мира и добра всем причастным к празднику! И делимся с вами тематической музыкальной подборкой – для создания настроения. #ЧинЧин
⠀
❄️ Have Yourself a Merry Little Christmas - Джуди Гарленд
❄️ Santa Claus Is Coming To Town - Фрэнк Синатра, Бинг Кросби
❄️ We wish you a merry Christmas - Роджер Уиттакер
❄️ Jingle Bells - Фрэнк Синатра
❄️ Last Christmas - Wham!
❄️ Santa Baby - Эрта Китт
❄️ Merry Xmas Everybody - Робби Уильямс
❄️ May Everyday Be Christmas - Луи Джордан
❄️ Oh Holy Night – Перри Комо
❄️ You Make It Feel Like Christmas - Гвен Стефани, Блэйк Шелтон
⠀
#золотаябалка #zolotayabalka"
505,"До Нового года осталась всего одна неделя. Вы уже решили, какие вина и крепкие напитки будут на вашем праздничном столе? 

Ждем вас за самыми игристыми покупками в наших крымских фирменных магазинах, где действуют выгодные скидки."
506,"Новые герои нашего визионерского проекта «Здравствуй, 2040!» живут Севастополе. В этой серии они рассказывают о том, чем и как живет местная 20-летняя молодежь, и поднимают тосты за исполнение своих желаний через 20 лет. 

Вместе с ними мы заглядываем в наше общее будущее. 
#Здравствуй2040

Часть 4. Влад Крупницкий @iapettt, 23 года, барбер и Даня Агальцов @agaltsovdanya, 20 лет, скейтбордист

#zolotayabalka #золотаябалка"
507,"Через два дня по Керченскому мосту отправится первый поезд с материка в Крым. 

А #ZналиЛиВы, что самая первая железная дорога на полуострове начиналась именно в Балаклаве?  Во время Крымской войны 11 км железнодорожных путей соединили Балаклаву и позиции англичан под Севастополем. Все материалы для строительства, паровозы и вагоны для дороги были специально привезены из Англии в 1855 году. В истории Англии крымская железная дорога под Балаклавой получила название «The Grand Crimean Central Railway» (Большая крымская центральная железная дорога).
 
Кстати, «Золотая Балка» дарит пассажирам первого поезда в Симферополь бесплатную экскурсию на винодельню. Воспользоваться акцией можно при предъявлении железнодорожного билета - в бумажной или электронной форме.

Записаться на экскурсию можно на сайте zbtour.ru
 
#zolotayabalka #золотаябалка"
